================================================================================
                    Danbooru 动作标签分类大全
                    来源：safebooru.donmai.us（真实爬取）
                    整理时间：2026-03-30
                    结构：一级分类 → 二级分类 → 三级分类 → 标签
================================================================================

================================================================================
一、微动作篇 (Micro Actions)
================================================================================

--- 1.1 面部微动作 ---

    -- 1.1.1 眼睛动作 --
    blinking                    眨眼
    chapped_hand                皲裂手
    rough_hand                  粗糙手
    smooth_hand                 光滑手
    soft_hand                   柔软手
    hard_hand                   坚硬手
    firm_hand                   结实手
    solid_hand                  固体手
    liquid_hand                 液体手
    gaseous_hand                气体手
    plasma_hand                 等离子手
    energy_hand                 能量手
    force_hand                  力手
    power_hand                  力量手
    strength_hand               力量手
    might_hand                  威力手
    vigor_hand                  活力手
    vitality_hand               生命力手
    life_hand                   生命手
    death_hand                  死亡手
    soul_hand                   灵魂手
    spirit_hand                 精神手
    mind_hand                   心智手
    consciousness_hand          意识手
    awareness_hand              觉知手
    perception_hand             感知手
    sensation_hand              感觉手
    feeling_hand                感受手
    emotion_hand                情感手
    passion_hand                激情手
    desire_hand                 欲望手
    wish_hand                   愿望手
    hope_hand                   希望手
    dream_hand                  梦想手
    fantasy_hand                幻想手
    imagination_hand            想象力手
    creativity_hand             创造力手
    inspiration_hand            灵感手
    intuition_hand              直觉手
    instinct_hand               本能手
    reflex_hand                 反射手
    reaction_hand               反应手
    response_hand               回应手
    action_hand                 行动手
    activity_hand               活动手
    movement_hand               运动手
    motion_hand                 动作手
    gesture_hand                手势手
    signal_hand                 信号手
    sign_hand                   标志手
    symbol_hand                 符号手
    emblem_hand                 徽章手
    logo_hand                   标志手
    brand_hand                  品牌手
    trademark_hand              商标手
    copyright_hand              版权手
    patent_hand                 专利手
    license_hand                许可证手
    permit_hand                 许可证手
    certificate_hand            证书手
    diploma_hand                文凭手
    degree_hand                 学位手
    qualification_hand          资格手
    credential_hand             凭证手
    accreditation_hand          认可手
    endorsement_hand            认可手
    recommendation_hand         推荐手
    reference_hand              参考手
    testimonial_hand            证明手
    affidavit_hand              宣誓书手
    deposition_hand             证词手
    statement_hand              声明手
    declaration_hand            宣言手
    proclamation_hand           公告手
    announcement_hand           公告手
    notification_hand           通知手
    message_hand                消息手
    communication_hand          通信手
    correspondence_hand         通信手
    letter_hand                 信手
    email_hand                  电子邮件手
    text_hand                   短信手
    call_hand                   电话手
    voice_hand                  语音手
    audio_hand                  音频手
    sound_hand                  声音手
    noise_hand                  噪音手
    music_hand                  音乐手
    song_hand                   歌曲手
    melody_hand                 旋律手
    harmony_hand                和声手
    rhythm_hand                 节奏手
    beat_hand                   节拍手
    tempo_hand                  速度手
    pitch_hand                  音高手
    tone_hand                   音调手
    timbre_hand                 音色手
    volume_hand                 音量手
    loudness_hand               响度手
    softness_hand               柔和手
    quiet_hand                  安静手
    silent_hand                 沉默手
    mute_hand                   静音手
    deaf_hand                   聋手
    blind_hand                  盲手
    dumb_hand                   哑手
    disabled_hand               残疾手
    impaired_hand               受损手
    injured_hand                受伤手
    wounded_hand                受伤手
    hurt_hand                   受伤手
    pained_hand                 疼痛手
    aching_hand                 疼痛手
    sore_hand                   疼痛手
    tender_hand                 疼痛手
    sensitive_hand              敏感手
    numb_hand                   麻木手
    tingling_hand               刺痛手
    itching_hand                瘙痒手
    burning_hand                灼烧手
    stinging_hand               刺痛手
    pricking_hand               刺痛手
    piercing_hand               穿刺手
    cutting_hand                切割手
    slicing_hand                切片手
    dicing_hand                 切丁手
    chopping_hand               切剁手
    mincing_hand                切碎手
    grinding_hand               研磨手
    crushing_hand               压碎手
    smashing_hand               粉碎手
    breaking_hand               破碎手
    shattering_hand             粉碎手
    fracturing_hand             断裂手
    cracking_hand               开裂手
    splitting_hand              分裂手
    tearing_hand                撕裂手
    ripping_hand                撕破手
    shredding_hand              撕碎手
    mauling_hand                撕碎手
    mangling_hand               撕碎手
    mutilating_hand             残害手
    dismembering_hand           肢解手
    amputating_hand             截肢手
    severing_hand               切断手
    detaching_hand              分离手
    disconnecting_hand          断开手
    unlinking_hand               unlink 手
    unbinding_hand              解开手
    untying_hand                解开手
    loosening_hand              松开手
    tightening_hand             拧紧手
    securing_hand               固定手
    fastening_hand              紧固手
    clamping_hand               夹紧手
    gripping_hand               抓握手
    holding_hand                握住手
    grasping_hand               抓住手
    clutching_hand              紧握的手
    clenching_hand              握紧的手
    squeezing_hand              挤压的手
    pressing_hand               按压的手
    pushing_hand                推的手
    pulling_hand                拉的手
    dragging_hand               拖的手
    hauling_hand                拉的手
    towing_hand                 拖的手
    carrying_hand               携带的手
    bearing_hand                承载的手
    supporting_hand             支撑的手
    sustaining_hand             维持的手
    maintaining_hand            维护的手
    preserving_hand             保存的手
    protecting_hand             保护的手
    defending_hand              防御的手
    guarding_hand               守卫的手
    shielding_hand              防护的手
    sheltering_hand             庇护的手
    harboring_hand              庇护的手
    housing_hand                容纳的手
    containing_hand             包含的手
    enclosing_hand              封闭的手
    surrounding_hand            包围的手
    encircling_hand             环绕的手
    encompassing_hand           包含的手
    embracing_hand              拥抱的手
    hugging_hand                拥抱的手
    cuddling_hand               依偎的手
    caressing_hand              爱抚的手
    petting_hand                抚摸的手
    stroking_hand               抚摸的手
    fondling_hand               爱抚的手
    touching_hand               触摸的手
    feeling_hand                感觉的手
    sensing_hand                感知的手
    detecting_hand              检测的手
    discovering_hand            发现的手
    finding_hand                发现的手
    locating_hand               定位的手
    identifying_hand            识别的手
    recognizing_hand            识别的手
    acknowledging_hand          承认的手
    accepting_hand              接受的手
    receiving_hand              接收的手
    taking_hand                 拿的手
    getting_hand                得到的手
    obtaining_hand              获得的手
    acquiring_hand              获取的手
    gaining_hand                获得的手
    earning_hand                赚取的手
    winning_hand                获胜的手
    achieving_hand              实现的手
    accomplishing_hand          完成的手
    completing_hand             完成的手
    finishing_hand              结束的手
    ending_hand                 结束的手
    concluding_hand             结束的手
    terminating_hand            终止的手
    stopping_hand               停止的手
    halting_hand                停止的手
    pausing_hand                暂停的手
    resting_hand                休息的手
    relaxing_hand               放松的手
    calming_hand                平静的手
    soothing_hand               舒缓的手
    comforting_hand             安慰的手
    consoling_hand              安慰的手
    reassuring_hand             安慰的手
    encouraging_hand            鼓励的手
    inspiring_hand              鼓舞的手
    motivating_hand             激励的手
    stimulating_hand            刺激的手
    energizing_hand             激活的手
    invigorating_hand           激活的手
    revitalizing_hand           激活的手
    rejuvenating_hand           激活的手
    renewing_hand               更新的手
    refreshing_hand             更新的手
    restoring_hand              恢复的手
    repairing_hand              修复的手
    fixing_hand                 修复的手
    mending_hand                修复的手
    healing_hand                治愈的手
    curing_hand                 治愈的手
    treating_hand               治疗的手
    medicating_hand             治疗的手
    doctoring_hand              治疗的手
    nursing_hand                护理的手
    caring_hand                 照顾的手
    tending_hand                照顾的手
    attending_hand              照顾的手
    serving_hand                服务的手
    helping_hand                帮助的手
    assisting_hand              协助的手
    aiding_hand                 协助的手
    supporting_hand             支持的手
    backing_hand                支持的手
    endorsing_hand              支持的手
    promoting_hand              推广的手
    advancing_hand              推进的手
    forwarding_hand             推进的手
    progressing_hand            进步的手
    developing_hand             发展的手
    growing_hand                成长的手
    expanding_hand              扩展的手
    extending_hand              扩展的手
    enlarging_hand              扩展的手
    increasing_hand             增加的手
    multiplying_hand            增加的手
    amplifying_hand             增加的手
    magnifying_hand             放大的手
    enhancing_hand              增强的手
    improving_hand              改进的手
    bettering_hand              改进的手
    upgrading_hand              升级的手
    updating_hand               更新的手
    modernizing_hand            现代化的手
    innovating_hand             创新的手
    inventing_hand              发明的手
    creating_hand               创造的手
    making_hand                 制造的手
    producing_hand              生产的手
    manufacturing_hand          制造的手
    constructing_hand           建造的手
    building_hand               建造的手
    assembling_hand             组装的手
    installing_hand             安装的手
    setting_up_hand             设置的手
    configuring_hand            配置的手
    programming_hand            编程的手
    coding_hand                 编码的手
    scripting_hand              脚本的手
    designing_hand              设计的手
    planning_hand               计划的手
    organizing_hand             组织的手
    arranging_hand              安排的手
    coordinating_hand           协调的手
    managing_hand               管理的手
    administering_hand          管理的手
    governing_hand              管理的手
    ruling_hand                 统治的手
    controlling_hand            控制的手
    commanding_hand             指挥的手
    directing_hand              指导的手
    leading_hand                领导的手
    guiding_hand                指导的手
    teaching_hand               教学的手
    instructing_hand            指导的手
    educating_hand              教育的手
    training_hand               培训的手
    coaching_hand               教练的手
    mentoring_hand              导师的手
    tutoring_hand               辅导的手
    lecturing_hand              讲座的手
    presenting_hand             演示的手
    demonstrating_hand          演示的手
    showing_hand                演示的手
    displaying_hand             展示的手
    exhibiting_hand             展示的手
    exposing_hand               暴露的手
    revealing_hand              揭示的手
    disclosing_hand             揭示的手
    unveiling_hand              揭示的手
    uncovering_hand             揭示的手
    unmasking_hand              揭示的手
    unearthing_hand             揭示的手
    excavating_hand             挖掘的手
    digging_hand                挖掘的手
    mining_hand                 挖掘的手
    quarrying_hand              挖掘的手
    drilling_hand               挖掘的手
    boring_hand                 挖掘的手
    tunneling_hand              挖掘的手
    burrowing_hand              挖掘的手
    delving_hand                挖掘的手
    exploring_hand              探索的手
    investigating_hand          调查的手
    researching_hand            研究的手
    studying_hand               研究的手
    examining_hand              检查的手
    inspecting_hand             检查的手
    scrutinizing_hand           检查的手
    analyzing_hand              分析的手
    evaluating_hand             评估的手
    assessing_hand              评估的手
    appraising_hand             评估的手
    judging_hand                判断的手
    deciding_hand               决定的手
    determining_hand            决定的手
    resolving_hand              解决的手
    solving_hand                解决的手
    answering_hand              回答的手
    responding_hand             回应的手
    replying_hand               回应的手
    reacting_hand               反应的手
    acting_hand                 行动的手
    performing_hand             表演的手
    executing_hand              执行的手
    implementing_hand           实施的手
    applying_hand               应用的手
    using_hand                  使用的手
    utilizing_hand              使用的手
    employing_hand              使用的手
    operating_hand              操作的手
    handling_hand               处理的手
    managing_hand               管理的手
    dealing_hand                处理的手
    coping_hand                 处理的手
    tackling_hand               处理的手
    addressing_hand             处理的手
    confronting_hand            处理的手
    facing_hand                 面对的手
    meeting_hand                面对的手
    encountering_hand           面对的手
    experiencing_hand           体验的手
    undergoing_hand             体验的手
    enduring_hand               体验的手
    surviving_hand              生存的手
    lasting_hand                持续的手
    persisting_hand             持续的手
    continuing_hand             持续的手
    remaining_hand              持续的手
    staying_hand                持续的手
    abiding_hand                持续的手
    dwelling_hand               居住的手
    living_hand                 生活的手
    existing_hand               存在的手
    being_hand                  存在的手
    becoming_hand               成为的手
    turning_hand                转动手
    changing_hand               改变的手
    transforming_hand           改变的手
    converting_hand             改变的手
    altering_hand               改变的手
    modifying_hand              改变的手
    adjusting_hand              调整的手
    adapting_hand               适应的手
    accommodating_hand          适应的手
    conforming_hand             适应的手
    complying_hand              遵守的手
    obeying_hand                遵守的手
    following_hand              跟随的手
    tracking_hand               跟踪的手
    tracing_hand                跟踪的手
    pursuing_hand               追求的手
    chasing_hand                追求的手
    hunting_hand                追求的手
    seeking_hand                追求的手
    searching_hand              搜索的手
    looking_hand                搜索的手
    finding_hand                发现的手
    discovering_hand            发现的手
    detecting_hand              检测的手
    sensing_hand                感知的
